url_length,has_https,has_at_symbol,has_hyphen,suspicious_word,has_ip,dot_count,digit_count,special_char_count,is_shortened,slash_count,domain_length,label
345,0,0,1,1,0,3,50,10,0,3,45,1
76,0,0,0,0,0,3,21,0,0,3,25,1
44,0,0,0,0,0,2,0,2,0,2,16,0
55,0,0,0,0,0,2,3,2,0,2,21,1
68,0,0,0,0,0,1,2,1,0,6,16,1
55,0,0,1,0,0,1,0,0,0,3,15,0
31,0,0,0,0,0,1,1,2,0,1,11,0
46,0,0,0,0,0,3,6,0,0,1,20,1
28,0,0,0,0,0,3,2,0,0,1,21,1
32,0,0,0,0,0,2,0,0,0,3,11,1
67,0,0,0,0,0,4,0,0,0,5,24,1
26,0,0,0,0,0,1,0,0,0,2,19,0
51,0,0,1,0,0,2,0,0,0,1,15,0
27,0,0,0,0,0,1,7,0,0,3,8,0
34,0,0,0,0,0,3,0,0,0,3,14,1
32,0,0,0,0,0,2,1,0,0,3,19,0
108,0,0,0,1,0,8,0,3,1,6,33,1
50,0,0,1,0,0,3,6,0,1,3,24,0
43,0,0,0,1,0,4,0,1,0,2,20,1
45,0,0,0,0,0,1,0,1,0,3,18,0
75,0,0,1,0,0,2,6,0,0,1,22,0
27,0,0,0,0,0,1,1,0,0,1,20,1
48,0,0,0,0,0,1,1,3,0,3,14,0
73,0,0,0,0,0,5,5,0,0,3,25,1
337,0,0,1,1,0,3,44,10,0,3,44,1
19,0,0,0,0,0,1,2,0,0,1,12,1
40,0,0,0,1,0,3,0,0,0,3,20,1
35,0,0,0,0,0,2,3,0,0,3,19,1
49,0,0,0,0,0,2,9,4,0,2,15,0
36,0,0,0,0,0,2,2,2,0,2,16,0
73,0,0,0,0,0,2,4,1,0,3,11,0
142,0,0,1,0,0,2,21,2,0,11,21,1
92,0,0,1,0,0,1,10,0,0,4,22,0
21,0,0,0,0,0,2,0,0,0,2,15,0
66,0,0,1,0,0,1,0,0,0,1,23,0
345,0,0,1,1,0,3,53,12,0,3,45,1
322,0,0,1,1,0,3,125,6,0,8,16,1
62,0,0,1,0,0,1,0,0,0,2,19,0
45,0,0,1,0,0,1,4,0,0,3,10,0
66,0,0,1,0,0,1,10,0,0,3,10,0
57,0,0,1,0,0,2,0,0,0,6,11,1
67,0,0,0,0,0,3,24,0,0,5,18,1
27,0,0,0,0,0,1,0,1,0,1,14,0
36,0,0,0,0,0,3,5,0,0,2,21,0
29,0,0,0,0,0,3,0,0,0,2,14,0
55,0,0,0,0,0,3,3,0,0,4,21,1
32,0,0,0,0,0,2,0,0,0,2,20,1
39,0,0,0,0,0,2,0,1,0,2,16,0
22,0,0,0,0,0,2,0,0,1,1,15,0
21,0,0,0,0,0,1,0,0,0,1,10,0
198,0,0,1,1,0,12,65,0,0,2,117,1
100,0,0,0,1,0,6,1,7,0,4,17,1
28,0,0,0,0,0,2,0,0,1,1,27,0
32,0,0,0,0,0,2,0,0,0,2,22,0
51,0,0,0,0,0,3,1,1,0,3,13,1
34,0,0,1,0,0,1,0,0,0,3,14,1
27,0,0,0,0,0,2,6,0,0,0,27,1
49,0,0,0,0,0,2,2,2,0,2,14,0
31,0,0,1,0,0,2,2,0,0,1,12,0
58,0,0,0,0,0,2,15,2,0,2,17,0
21,0,0,0,0,0,1,0,0,0,1,20,0
21,0,0,0,0,0,2,0,0,0,1,12,1
20,0,0,1,1,0,2,0,0,0,1,19,1
16,0,0,1,0,0,2,0,0,0,1,9,1
27,0,0,0,0,0,2,4,0,0,2,14,0
42,0,0,0,0,0,2,0,2,0,2,16,0
61,0,0,0,0,0,2,0,4,0,2,19,0
62,0,0,1,0,0,2,0,0,0,6,11,1
44,0,0,0,0,0,1,0,4,0,3,18,0
78,0,0,1,0,0,3,6,0,1,3,26,0
20,0,0,0,0,0,1,0,0,0,1,13,1
62,0,0,1,0,0,2,7,0,0,3,19,0
51,0,0,1,0,0,1,0,0,0,2,11,0
88,0,0,0,0,0,4,14,5,0,2,25,1
25,0,0,0,0,0,2,0,0,0,2,10,1
77,0,0,0,0,0,4,8,5,1,5,14,1
34,0,0,1,0,0,1,3,0,0,4,9,0
34,0,0,1,0,0,1,0,0,0,2,12,0
73,0,0,0,0,0,2,0,0,0,6,15,1
75,0,0,1,0,0,1,18,1,1,3,21,1
83,0,0,0,0,0,1,22,0,0,5,17,1
70,0,0,1,0,0,3,0,4,0,3,24,0
37,0,0,1,0,0,1,0,0,0,2,11,0
33,0,0,0,0,0,2,1,0,0,4,13,1
30,0,0,0,0,0,2,0,0,0,2,9,1
31,0,0,0,0,0,2,0,0,0,3,10,1
30,0,0,0,0,0,2,0,0,0,2,14,1
42,0,1,0,0,0,1,20,0,0,4,10,0
245,0,0,1,1,0,6,81,5,0,5,19,1
41,0,0,0,0,0,2,0,0,0,3,18,1
61,0,0,1,0,0,2,5,1,0,1,18,0
79,0,0,1,0,0,1,10,0,0,3,10,0
75,0,0,1,0,0,2,9,0,0,3,15,0
40,0,0,1,0,0,2,0,0,0,1,14,0
31,0,0,0,0,0,3,6,0,0,1,22,1
33,0,0,0,0,0,2,0,0,0,2,20,0
72,0,0,1,0,0,1,22,0,0,6,12,1
50,0,0,0,0,0,3,0,1,0,2,22,0
63,0,0,0,0,0,1,0,4,0,3,14,0
59,0,0,1,0,0,4,0,0,0,5,14,1
38,0,0,0,0,0,2,5,0,0,4,12,1
70,0,0,0,0,0,1,22,0,0,6,10,1
77,0,1,1,0,0,4,0,2,0,6,13,1
27,0,0,0,0,0,2,0,0,0,2,20,0
31,0,0,0,0,0,1,0,0,0,2,20,0
